rank_within_split,split,scene,acquisition_date,tile_name,tile,label,mask_pixels,latitude,longitude,left,bottom,right,top,center_x,center_y,cnn_score,unet_mean_probability,unet_max_probability,unet_p95_probability,candidate_pixel_count,candidate_fraction,final_fusion_score
26,validation,S1A_20190812,2019-08-12,S1A_20190812_r17956_c22463_positive.npz,D:\SIHwork_2026\data\training_tiles_clean\tiles_npz\S1A_20190812_r17956_c22463_positive.npz,positive,5748,19.954807536977782,71.56249895837196,765636.2547835225,2205968.068746178,770756.2547835225,2211088.068746178,768196.2547835225,2208528.068746178,0.5444825291633606,0.15642039477825165,0.30548787117004395,0.18659527599811554,8416,0.0321044921875,0.9182424181263492
27,validation,S1A_20190812,2019-08-12,S1A_20190812_r15396_c21951_negative.npz,D:\SIHwork_2026\data\training_tiles_clean\tiles_npz\S1A_20190812_r15396_c21951_negative.npz,negative,0,20.186620077993766,71.51730293586776,760516.2547835225,2231568.068746178,765636.2547835225,2236688.068746178,763076.2547835225,2234128.068746178,0.5072108507156372,0.15715648233890533,0.34615030884742737,0.1942806839942932,10569,0.040317535400390625,0.9130612531303545
28,validation,S1A_20190812,2019-08-12,S1A_20190812_r17956_c20927_negative.npz,D:\SIHwork_2026\data\training_tiles_clean\tiles_npz\S1A_20190812_r17956_c20927_negative.npz,negative,0,19.95686499595969,71.4158413394578,750276.2547835225,2205968.068746178,755396.2547835225,2211088.068746178,752836.2547835225,2208528.068746178,0.5474568605422974,0.15603455901145935,0.3451657295227051,0.185433492064476,7561,0.028842926025390625,0.9066358079503967
29,validation,S1A_20190812,2019-08-12,S1A_20190812_r17444_c21439_negative.npz,D:\SIHwork_2026\data\training_tiles_clean\tiles_npz\S1A_20190812_r17444_c21439_negative.npz,negative,0,20.002417526701166,71.46544845424788,755396.2547835225,2211088.068746178,760516.2547835225,2216208.068746178,757956.2547835225,2213648.068746178,0.5263818502426147,0.15670156478881836,0.32554832100868225,0.18709821999073029,8737,0.033329010009765625,0.8937953475181099
30,validation,S1A_20190812,2019-08-12,S1A_20190812_r16932_c21439_negative.npz,D:\SIHwork_2026\data\training_tiles_clean\tiles_npz\S1A_20190812_r16932_c21439_negative.npz,negative,0,20.04864217268881,71.46616968547816,755396.2547835225,2216208.068746178,760516.2547835225,2221328.068746178,757956.2547835225,2218768.068746178,0.5678857564926147,0.155603289604187,0.32624754309654236,0.17962349951267242,6192,0.02362060546875,0.8906289693839377
31,validation,S1A_20190812,2019-08-12,S1A_20190812_r17956_c21439_negative.npz,D:\SIHwork_2026\data\training_tiles_clean\tiles_npz\S1A_20190812_r17956_c21439_negative.npz,negative,0,19.95619261490407,71.46472923977811,755396.2547835225,2205968.068746178,760516.2547835225,2211088.068746178,757956.2547835225,2208528.068746178,0.5267461538314819,0.15581044554710388,0.31003308296203613,0.18493571877479553,8279,0.031581878662109375,0.8788315826631786
32,validation,S1A_20190812,2019-08-12,S1A_20190812_r17444_c21951_negative.npz,D:\SIHwork_2026\data\training_tiles_clean\tiles_npz\S1A_20190812_r17444_c21951_negative.npz,negative,0,20.001729985800637,71.51434856923771,760516.2547835225,2211088.068746178,765636.2547835225,2216208.068746178,763076.2547835225,2213648.068746178,0.5684183835983276,0.15553852915763855,0.3020501136779785,0.1772303730249405,4596,0.0175323486328125,0.8495649087549867
33,validation,S1A_20190812,2019-08-12,S1A_20190812_r16932_c22463_positive.npz,D:\SIHwork_2026\data\training_tiles_clean\tiles_npz\S1A_20190812_r16932_c22463_positive.npz,positive,6214,20.047250143628705,71.56399639331629,765636.2547835225,2216208.068746178,770756.2547835225,2221328.068746178,768196.2547835225,2218768.068746178,0.5345514416694641,0.1552780121564865,0.3309866487979889,0.17818017303943634,7261,0.027698516845703125,0.8467802074806762
34,validation,S1A_20190824,2019-08-24,S1A_20190824_r16932_c18368_negative.npz,D:\SIHwork_2026\data\training_tiles_clean\tiles_npz\S1A_20190824_r16932_c18368_negative.npz,negative,0,20.0525261262299,71.17267899163024,724680.0398668933,2216211.6731203357,729800.0398668933,2221331.6731203357,727240.0398668933,2218771.6731203357,0.451485812664032,0.15734350681304932,0.3372805714607239,0.19605422019958496,11070,0.04222869873046875,0.8242656552821671
35,validation,S1A_20190812,2019-08-12,S1A_20190812_r17444_c20927_negative.npz,D:\SIHwork_2026\data\training_tiles_clean\tiles_npz\S1A_20190812_r17444_c20927_negative.npz,negative,0,20.003091594503836,71.41654632249907,750276.2547835225,2211088.068746178,755396.2547835225,2216208.068746178,752836.2547835225,2213648.068746178,0.5027532577514648,0.15563122928142548,0.30632084608078003,0.18260449171066284,7014,0.02675628662109375,0.8130072964878825
36,validation,S1A_20190812,2019-08-12,S1A_20190812_r15908_c20927_negative.npz,D:\SIHwork_2026\data\training_tiles_clean\tiles_npz\S1A_20190812_r15908_c20927_negative.npz,negative,0,20.141769798849573,71.41867314348751,750276.2547835225,2226448.068746178,755396.2547835225,2231568.068746178,752836.2547835225,2229008.068746178,0.5265598297119141,0.15431508421897888,0.31598037481307983,0.1746726930141449,4529,0.017276763916015625,0.7742946909961055
37,validation,S1A_20190824,2019-08-24,S1A_20190824_r16932_c17856_negative.npz,D:\SIHwork_2026\data\training_tiles_clean\tiles_npz\S1A_20190824_r16932_c17856_negative.npz,negative,0,20.05312080424604,71.12375130194174,719560.0398668933,2216211.6731203357,724680.0398668933,2221331.6731203357,722120.0398668933,2218771.6731203357,0.3547654449939728,0.16007797420024872,0.3386521637439728,0.20808511972427368,19370,0.07389068603515625,0.7287304401916015
38,validation,S1A_20190812,2019-08-12,S1A_20190812_r15396_c20927_negative.npz,D:\SIHwork_2026\data\training_tiles_clean\tiles_npz\S1A_20190812_r15396_c20927_negative.npz,negative,0,20.18799533475411,71.41938604992878,750276.2547835225,2231568.068746178,755396.2547835225,2236688.068746178,752836.2547835225,2234128.068746178,0.423919677734375,0.15527009963989258,0.3122391402721405,0.17953643202781677,7070,0.02696990966796875,0.6746119301593735
39,validation,S1A_20190812,2019-08-12,S1A_20190812_r16932_c20927_negative.npz,D:\SIHwork_2026\data\training_tiles_clean\tiles_npz\S1A_20190812_r16932_c20927_negative.npz,negative,0,20.049317928190142,71.41725328242434,750276.2547835225,2216208.068746178,755396.2547835225,2221328.068746178,752836.2547835225,2218768.068746178,0.45485106110572815,0.15390938520431519,0.2922656536102295,0.17398269474506378,3534,0.01348114013671875,0.6465799443295432
40,validation,S1A_20190812,2019-08-12,S1A_20190812_r16420_c20927_negative.npz,D:\SIHwork_2026\data\training_tiles_clean\tiles_npz\S1A_20190812_r16420_c20927_negative.npz,negative,0,20.095543996483563,71.41796222187145,750276.2547835225,2221328.068746178,755396.2547835225,2226448.068746178,752836.2547835225,2223888.068746178,0.47246700525283813,0.153391033411026,0.29838061332702637,0.1716078519821167,2393,0.009128570556640625,0.6308534414521421
41,validation,S1A_20190812,2019-08-12,S1A_20190812_r15396_c26047_negative.npz,D:\SIHwork_2026\data\training_tiles_clean\tiles_npz\S1A_20190812_r15396_c26047_negative.npz,negative,0,20.180575026912067,71.9088845689351,801476.2547835225,2231568.068746178,806596.2547835225,2236688.068746178,804036.2547835225,2234128.068746178,0.6263887286186218,0.14997857809066772,0.25864890217781067,0.1892833709716797,190,0.00072479248046875,0.6227356419092404
42,validation,S1A_20190812,2019-08-12,S1A_20190812_r15908_c26047_negative.npz,D:\SIHwork_2026\data\training_tiles_clean\tiles_npz\S1A_20190812_r15908_c26047_negative.npz,negative,0,20.1343679157825,71.90802787873534,801476.2547835225,2226448.068746178,806596.2547835225,2231568.068746178,804036.2547835225,2229008.068746178,0.6207343339920044,0.15755148231983185,0.20040184259414673,0.19029481709003448,1,3.814697265625e-06,0.08187629623771897
43,validation,S1A_20190824,2019-08-24,S1A_20190824_r20004_c25024_positive.npz,D:\SIHwork_2026\data\training_tiles_clean\tiles_npz\S1A_20190824_r20004_c25024_positive.npz,positive,24736,19.76629038405721,71.8036704456768,791240.0398668933,2185491.6731203357,796360.0398668933,2190611.6731203357,793800.0398668933,2188051.6731203357,0.6623601913452148,0.1483127474784851,0.1951918601989746,0.16044509410858154,0,0.0,0.0
1,test,S1A_20190824,2019-08-24,S1A_20190824_r15908_c25536_negative.npz,D:\SIHwork_2026\data\training_tiles_clean\tiles_npz\S1A_20190824_r15908_c25536_negative.npz,negative,0,20.135201070829105,71.8591392394073,796360.0398668933,2226451.6731203357,801480.0398668933,2231571.6731203357,798920.0398668933,2229011.6731203357,0.7664380669593811,0.168387308716774,0.3621101379394531,0.2291749268770218,38898,0.14838409423828125,1.8563793020944395
2,test,S1A_20190824,2019-08-24,S1A_20190824_r15908_c24000_positive.npz,D:\SIHwork_2026\data\training_tiles_clean\tiles_npz\S1A_20190824_r15908_c24000_positive.npz,positive,5250,20.137523407595918,71.71234910031352,781000.0398668933,2226451.6731203357,786120.0398668933,2231571.6731203357,783560.0398668933,2229011.6731203357,0.8071721792221069,0.16624042391777039,0.3334180414676666,0.21761766076087952,31434,0.11991119384765625,1.819025665515243
3,test,S1A_20190824,2019-08-24,S1A_20190824_r15396_c25536_negative.npz,D:\SIHwork_2026\data\training_tiles_clean\tiles_npz\S1A_20190824_r15396_c25536_negative.npz,negative,0,20.181410174598142,71.85998157702214,796360.0398668933,2231571.6731203357,801480.0398668933,2236691.6731203357,798920.0398668933,2234131.6731203357,0.8442633152008057,0.16326946020126343,0.3519503176212311,0.2112327516078949,22930,0.08747100830078125,1.790537763860082
4,test,S1A_20190824,2019-08-24,S1A_20190824_r16932_c25536_negative.npz,D:\SIHwork_2026\data\training_tiles_clean\tiles_npz\S1A_20190824_r16932_c25536_negative.npz,negative,0,20.042782036473675,71.8574615955205,796360.0398668933,2216211.6731203357,801480.0398668933,2221331.6731203357,798920.0398668933,2218771.6731203357,0.7146230936050415,0.1704542636871338,0.3603358566761017,0.23256704211235046,44124,0.1683197021484375,1.7774489822134938
5,test,S1A_20190824,2019-08-24,S1A_20190824_r17956_c25024_positive.npz,D:\SIHwork_2026\data\training_tiles_clean\tiles_npz\S1A_20190824_r17956_c25024_positive.npz,positive,4857,19.951141741784664,71.80692262418566,791240.0398668933,2205971.6731203357,796360.0398668933,2211091.6731203357,793800.0398668933,2208531.6731203357,0.740563154220581,0.16786664724349976,0.36834827065467834,0.22625859081745148,37190,0.14186859130859375,1.763358742501505
6,test,S1A_20190824,2019-08-24,S1A_20190824_r15396_c24000_negative.npz,D:\SIHwork_2026\data\training_tiles_clean\tiles_npz\S1A_20190824_r15396_c24000_negative.npz,negative,0,20.18373829199489,71.71314832461327,781000.0398668933,2231571.6731203357,786120.0398668933,2236691.6731203357,783560.0398668933,2234131.6731203357,0.8286868333816528,0.1620211899280548,0.3249365985393524,0.2099524885416031,23423,0.08935165405273438,1.7505515542370498
7,test,S1A_20190824,2019-08-24,S1A_20190824_r16932_c22464_positive.npz,D:\SIHwork_2026\data\training_tiles_clean\tiles_npz\S1A_20190824_r16932_c22464_positive.npz,positive,6170,20.04728215774905,71.56403308072504,765640.0398668933,2216211.6731203357,770760.0398668933,2221331.6731203357,768200.0398668933,2218771.6731203357,0.7849340438842773,0.16373081505298615,0.34943920373916626,0.21509256958961487,26867,0.10248947143554688,1.7218805426149388
8,test,S1A_20190824,2019-08-24,S1A_20190824_r16932_c25024_negative.npz,D:\SIHwork_2026\data\training_tiles_clean\tiles_npz\S1A_20190824_r16932_c25024_negative.npz,negative,0,20.04356578825696,71.80856245694906,791240.0398668933,2216211.6731203357,796360.0398668933,2221331.6731203357,793800.0398668933,2218771.6731203357,0.7232314944267273,0.16741536557674408,0.36111825704574585,0.22399397194385529,36589,0.13957595825195312,1.7022145962470006
9,test,S1A_20190824,2019-08-24,S1A_20190824_r15908_c24512_negative.npz,D:\SIHwork_2026\data\training_tiles_clean\tiles_npz\S1A_20190824_r15908_c24512_negative.npz,negative,0,20.136762853637013,71.76128142490298,786120.0398668933,2226451.6731203357,791240.0398668933,2231571.6731203357,788680.0398668933,2229011.6731203357,0.8237432837486267,0.1576187014579773,0.3240530490875244,0.1990770846605301,12541,0.047840118408203125,1.5475321203493058
10,test,S1A_20190824,2019-08-24,S1A_20190824_r15396_c22976_negative.npz,D:\SIHwork_2026\data\training_tiles_clean\tiles_npz\S1A_20190824_r15396_c22976_negative.npz,negative,0,20.18522239688464,71.61524828341186,770760.0398668933,2231571.6731203357,775880.0398668933,2236691.6731203357,773320.0398668933,2234131.6731203357,0.7365589141845703,0.16307809948921204,0.3366093039512634,0.2087322622537613,21687,0.08272933959960938,1.5350552710300722
11,test,S1A_20190824,2019-08-24,S1A_20190824_r16420_c25024_negative.npz,D:\SIHwork_2026\data\training_tiles_clean\tiles_npz\S1A_20190824_r16420_c25024_negative.npz,negative,0,20.089777401431796,71.80938581987516,791240.0398668933,2221331.6731203357,796360.0398668933,2226451.6731203357,793800.0398668933,2223891.6731203357,0.6701738834381104,0.16492891311645508,0.347958505153656,0.2197999805212021,30250,0.11539459228515625,1.5197794098290942
12,test,S1A_20190824,2019-08-24,S1A_20190824_r15396_c23488_negative.npz,D:\SIHwork_2026\data\training_tiles_clean\tiles_npz\S1A_20190824_r15396_c23488_negative.npz,negative,0,20.18448714352701,71.66419939794865,775880.0398668933,2231571.6731203357,781000.0398668933,2236691.6731203357,778440.0398668933,2234131.6731203357,0.8286736011505127,0.15770357847213745,0.3156493008136749,0.1949886828660965,9884,0.0377044677734375,1.4863560187093867
13,test,S1A_20190824,2019-08-24,S1A_20190824_r15396_c25024_negative.npz,D:\SIHwork_2026\data\training_tiles_clean\tiles_npz\S1A_20190824_r15396_c25024_negative.npz,negative,0,20.182199804858858,71.81103945417478,791240.0398668933,2231571.6731203357,796360.0398668933,2236691.6731203357,793800.0398668933,2234131.6731203357,0.8620439171791077,0.1540273129940033,0.3131956458091736,0.18833193182945251,7494,0.02858734130859375,1.4484888407877134
14,test,S1A_20190824,2019-08-24,S1A_20190824_r16420_c21440_negative.npz,D:\SIHwork_2026\data\training_tiles_clean\tiles_npz\S1A_20190824_r16420_c21440_negative.npz,negative,0,20.09489858741588,71.46692961849925,755400.0398668933,2221331.6731203357,760520.0398668933,2226451.6731203357,757960.0398668933,2223891.6731203357,0.7347227931022644,0.1601458191871643,0.3281908333301544,0.203044593334198,15533,0.059253692626953125,1.439718709260734
15,test,S1A_20190824,2019-08-24,S1A_20190824_r16420_c25536_negative.npz,D:\SIHwork_2026\data\training_tiles_clean\tiles_npz\S1A_20190824_r16420_c25536_negative.npz,negative,0,20.088991691266617,71.8582992466186,796360.0398668933,2221331.6731203357,801480.0398668933,2226451.6731203357,798920.0398668933,2223891.6731203357,0.6611903309822083,0.16218110918998718,0.3525754511356354,0.21391740441322327,24097,0.09192276000976562,1.4271144161355838
16,test,S1A_20190824,2019-08-24,S1A_20190824_r16932_c20928_negative.npz,D:\SIHwork_2026\data\training_tiles_clean\tiles_npz\S1A_20190824_r16932_c20928_negative.npz,negative,0,20.049349975900135,71.41728994417961,750280.0398668933,2216211.6731203357,755400.0398668933,2221331.6731203357,752840.0398668933,2218771.6731203357,0.6736419200897217,0.16173017024993896,0.3573773503303528,0.21103444695472717,21984,0.0838623046875,1.4213486227057024
17,test,S1A_20190824,2019-08-24,S1A_20190824_r16420_c21952_negative.npz,D:\SIHwork_2026\data\training_tiles_clean\tiles_npz\S1A_20190824_r16420_c21952_negative.npz,negative,0,20.094207591484732,71.51585831921486,760520.0398668933,2221331.6731203357,765640.0398668933,2226451.6731203357,763080.0398668933,2223891.6731203357,0.7141110301017761,0.15891282260417938,0.31928688287734985,0.19805939495563507,11899,0.045391082763671875,1.3272807009365
18,test,S1A_20190824,2019-08-24,S1A_20190824_r16932_c21952_negative.npz,D:\SIHwork_2026\data\training_tiles_clean\tiles_npz\S1A_20190824_r16932_c21952_negative.npz,negative,0,20.0479849357097,71.51512074797122,760520.0398668933,2216211.6731203357,765640.0398668933,2221331.6731203357,763080.0398668933,2218771.6731203357,0.6848341226577759,0.15895506739616394,0.34331899881362915,0.19910429418087006,12515,0.047740936279296875,1.2864621654947053
19,test,S1A_20190824,2019-08-24,S1A_20190824_r15396_c24512_negative.npz,D:\SIHwork_2026\data\training_tiles_clean\tiles_npz\S1A_20190824_r15396_c24512_negative.npz,negative,0,20.182975844889466,71.76209502336532,786120.0398668933,2231571.6731203357,791240.0398668933,2236691.6731203357,788680.0398668933,2234131.6731203357,0.836292564868927,0.1533953696489334,0.30846935510635376,0.17741672694683075,5576,0.021270751953125,1.2799196504980253
